id,state,name,stateid,Phases, Unmissable,Indicators,XIndicators,YIndicators
1,ARCH-1,"Can each component be tested for ""Non-Regression"" at the functioNaNl level? ",1,Production,NaN,NaN,NaN,NaN
2,ARCH-1,Is a BDD (Behavior Driven Development) approach implemented to steer production through usage?,1,Production,NaN,NaN,NaN,NaN
3,ARCH-1,"Does automation of compilation, test, integration, and deployment tasks exist in the continuous integration workflow? ",1,Deployment,NaN,NaN,NaN,NaN
4,ARCH-10,Are Responsible Digital goals qualified for each type of audience in architectural design?,2,N / A,NaN,NaN,NaN,NaN
5,ARCH-10,Does each stakeholder have the latitude to make decisions that may influence the environmental impact?,2,N / A,NaN,NaN,NaN,NaN
6,ARCH-10,Are Responsible Digital aspects propagated and maintained across all stakeholders?,2,N / A,NaN,NaN,NaN,NaN
7,ARCH-10,"Does the architect have a role in the continuity of the product? Is it associated with the presentation, evangelization, build and run phases of the implemented product?",2,Deployment,NaN,NaN,NaN,NaN
8,ARCH-10,Does the animation of the project team include a Responsible Digital dimension?,2,MainteNaNnce,NaN,NaN,NaN,NaN
9,ARCH-2,Do probes exist to measure the actual consumption of the code in production and allow accurate sizing? ,3,Administration,NaN,NaN,NaN,NaN
10,ARCH-2,Is the hosting of applications densified?,3,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
11,ARCH-2,"Are the environments other than production (DEV, QA, ...) switched off or decommissioned outside the usage ranges (at night, outside the test periods)?",3,Administration,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
12,ARCH-2,Are unsolicited production environments outside of peak loads turned off or decommissioned?,3,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
13,ARCH-2,Are the definitions of SLA and QoS for each of the functions of the application 1 specified in accordance with the business uses?,3,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
14,ARCH-2,Does the digital service remain effective throughout its effective lifespan?,3,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
15,ARCH-3,Have the legal constraints related to data persistence been aNaNlyzed and the rules and periods for forgetting specified? Has the lifespan of the data been thoroughly investigated? Have the legal terms been aNaNlyzed?,4,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
16,ARCH-3,Does the storage strategy minimize infrastructure or data duplication in relation to their criticality?,4,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
17,ARCH-3,Are non-production data anonymized and volume reduced to obtain a representative sample of production?,4,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
18,ARCH-3,Is the frequency of data refresh determined in relation to user expectations? ,4,Use,NaN,NaN,NaN,NaN
19,ARCH-3,Are the responsibilities from a GDPR point of view (or local framework in other countries: Privacy Act for example) with service providers clearly defined?,4,Use,NaN,NaN,NaN,NaN
20,ARCH-4,"Is a model relating the CPU / RAM / disks resources and the physical indicators (electricity consumption, water, ...) used?",5,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
21,ARCH-4,Have digital services impact measurements been put in place on the service?,5,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
22,ARCH-4,Are all technical components evaluated according to eco-responsible criteria?,5,Acquisition,NaN,NaN,NaN,NaN
23,ARCH-4,What data is consolidated to establish environmental performance?,5,Administration,NaN,NaN,NaN,NaN
24,ARCH-5,How efficient is my exchange protocol between content and container? ,6,Acquisition,NaN,NaN,NaN,NaN
25,ARCH-5,"Is the chosen communication protocol located in the ascending, stable or descending phase of its use in relation to performance, security, legal obligations?",6,Acquisition,NaN,NaN,NaN,NaN
26,ARCH-5,Are the communication protocols implemented evaluated in relation to the headers / payload data ratio?,6,Acquisition,NaN,NaN,NaN,NaN
27,ARCH-5,Are grid alterNaNtives assessed against energy consumption?,6,Production,NaN,NaN,NaN,NaN
28,ARCH-5,Is the ability of my system to operate despite connection difficulties specified and accepted by the business lines? ,6,Production,NaN,NaN,NaN,NaN
29,ARCH-5,Does an asynchronous communication system exist?,6,Production,NaN,NaN,NaN,NaN
30,ARCH-6,"Is the 1 modular? Does it allow you to recycle components already developed for other projects (authentication, data repositories, APIs, etc.)?",7,Revaluation,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
31,ARCH-6,Is the 1 granular and are the interfaces consistent to respect the independence of each entity? ,7,Revaluation,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
32,ARCH-6,"Is a cache in place between the different components of the IS to limit exchanges on the network, when the NaNture of the data allows it?",7,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
33,ARCH-6,Is the capacity of my network to adapt over time the subject of a specific study? ,7,Administration,NaN,NaN,NaN,NaN
34,ARCH-6,Does the choice of suppliers take into account Responsible Digital and CSR aspects in the same way as the solvency data?,7,Acquisition,NaN,NaN,NaN,NaN
35,ARCH-7,Does the application minimize the data to be exchanged with other applications or users with the use of a flow matrix?,8,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
36,ARCH-7,"Is each component deployed qualified from the point of view of its lifespan, and are the deprovisioning procedures systematically expressed?",8,End of life,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
37,ARCH-7,Is the traceability of security requirements guaranteed?,8,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
38,ARCH-7,Has data frugality been incorporated? ,8,Design,NaN,NaN,NaN,NaN
39,ARCH-7,"Are the security, accessibility, and Responsible Digital aspects treated in the same way for each element of the 1?",8,Design,NaN,NaN,NaN,NaN
40,ARCH-8,Does the added value of the framework justify the weighting of the application? Do other libraries or frameworks that are lighter and corresponding to the need exist?,9,Acquisition,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
41,ARCH-8,Does the frequency of use of the feature require it to be available all the time or can it be updated in the background (batch)?,9,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
